id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
7782048,Ki150 - Kona Opens Oct 15 - Oceanfront - Book It,376947,Kona Islander Inn Condos,Hawaii,North Kona,19.63623,-155.99016,Entire Home/Apt,$115.00,1,13,5/28/2020,0.26,10,279,Hawaii
25784565,Oak Street Suite,176304871,Jason,Not Specified,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93406,-77.03147,Private Room,$50.00,14,19,5/19/2020,0.69,4,365,Washington D.C.
43421978,Private Clean 1Br Kitchentravel Nurse Friendly,30283594,Global Luxury Suites,City Of Los Angeles,Hollywood Hills,34.14114,-118.33942,Entire Home/Apt,$299.00,31,0,,0,27,120,Los Angeles
1219697,Beautiful Remodel- Just Re-Listed! Kihei Akahi!,350744,Phyllis,Maui,Kihei-Makena,20.71581,-156.44536,Entire Home/Apt,$160.00,5,42,11/7/2019,0.73,1,260,Hawaii
35616280,Light Filled Condo Near Zilker + Lamar + Downtown,37072291,John,Not Specified,78704,30.23397,-97.77927,Entire Home/Apt,$114.00,2,53,8/30/2020,3.77,1,66,Austin
1212513,1 Or 2 Br/Exclusive Bath/Central Sf/Near Transit,1237762,Myles,Not Specified,Castro/Upper Market,37.76067,-122.4389,Private Room,$432.00,2,6,12/12/2019,0.07,2,156,San Francisco
22058702,"New 2 Story 3 Bd 3Ba Hillcrest House Walk To Zoo Balboa Park, Restaurants! A/C",156086844,Southern California Rentals,Not Specified,Midtown,32.7447,-117.15167,Entire Home/Apt,$200.00,1,25,4/7/2019,0.72,16,285,San Diego
39254362,Heaven On Earth,317205,Khalid,Not Specified,Fort Lauderdale,26.11583,-80.13922,Private Room,$300.00,1,0,,0,1,0,Broward County
44118566,Reserve: 1 Br Suite,349191645,Mint House At The Reserve,Not Specified,District 19,36.16371,-86.78431,Entire Home/Apt,$208.00,1,0,,0,3,242,Nashville
19812784,Soco 1920'S Remodeled Jewel Box/Executive Housing,2141281,Melanie,Not Specified,78704,30.24624,-97.75027,Entire Home/Apt,$395.00,30,17,8/31/2020,0.48,2,203,Austin
40726987,Aston Waikiki Beach Premier Oceanfront Two Doubles,182704096,Aston Waikiki Beach Hotel,Honolulu,Primary Urban Center,21.27328,-157.82166,Private Room,$261.00,1,0,,0,10,42,Hawaii
